,Frame,x1,y1,x2,y2
0,0.0,29.92667447746312,3.9867306353420497,30.235572549700816,3.9857172167855808
1,0.1,30.067379182831353,3.984469694904805,30.378752710002722,3.983448184036108
2,0.2,30.3395764173767,3.980512168770266,30.65576662663752,3.9794732185795203
3,0.3,30.716318034720768,3.975839523669257,31.039239992831103,3.9747721523482573
4,0.4,31.147901582039346,3.9716780126840057,31.47865030851192,3.9705705704945244
5,0.5,31.571442948465222,3.969521081401877,31.910055291429114,3.968363438219238
6,0.6,31.934618815138652,3.971154709196976,32.28024169210354,3.9699410796468486
7,0.7,32.21736591385495,3.978252145364455,32.56879309178714,3.9769838300477596
8,0.8,32.43882836488825,3.9915015890853667,32.7951472845764,3.9901886462079803
9,0.9,32.64356806689089,4.009644447583087,33.00455978786916,4.008305678211572
10,1.0,32.877599506987885,4.029204513451312,33.24373298449875,4.027865071729401
11,1.1,33.16755239637342,4.045562384056111,33.539652974451755,4.044248929955854
12,1.2,33.51285824951617,4.0551496981665185,33.89169448595313,4.053884254500611
13,1.3,33.89094849995662,4.057535477760771,34.27694895080445,4.056330335366654
14,1.4,34.2721769700672,4.056036323295864,34.665405375066044,4.0548922516396715
15,1.5,34.63319479336858,4.056065857498418,35.033504731601866,4.054974227161812
16,1.6,34.965172382605274,4.062033431051612,35.37242678713106,4.060980796238223
17,1.7,35.27159391110586,4.074596266628708,35.68578080459523,4.073569058754206
18,1.8,35.55754776775344,4.089924167330351,35.97868660274374,4.0889116722937064
19,1.9,35.81636566012637,4.101518061561216,36.244205930601574,4.1005134596688695
20,2.0,36.01960769535013,4.10342428541837,36.45320261644954,4.102424490124479
21,2.1,36.122080147116556,4.093049351464978,36.559500406728546,4.09205467217104
22,2.2,36.08226982407907,4.0720431633335945,36.52071434883352,4.071057694413968
23,2.3,35.890366880886894,4.045221458972099,36.32679224079664,4.044254103036086
24,2.4,35.583133897363396,4.018204704343934,36.0151525531361,4.017270392912918
25,2.5,35.23552412139947,3.9952445241421097,35.66214573101798,3.994364414793077
26,2.6,34.929277686329456,3.9781396361126236,35.35106834474162,3.977338868733476
27,2.7,34.71859445452393,3.9665090385449013,35.13719336954334,3.965811427586104
28,2.8,34.61147350538148,3.958976341555033,35.02875012138769,3.9583971495430035
29,2.9,34.57446477706406,3.9544540716258134,34.991745329754266,3.9539932667979016
30,3.0,34.55556873919526,3.952721022080259,34.97326498713005,3.9523605174248386
31,3.1,34.509706666570494,3.954129925821262,34.927395896176186,3.953836557323812
32,3.2,34.41641811816428,3.958727100608408,34.83323586201649,3.9584609421627563
33,3.3,34.28425105060156,3.9655669996269416,34.69936520171886,3.9652920050930254
34,3.4,34.14260645985428,3.972618333284372,34.555559939605345,3.972310856734795
35,3.5,34.022655954652336,3.9774688150719415,34.43340047813606,3.977120945654126
36,3.6,33.94171569967149,3.978435752376536,34.35040667555145,3.978052638174117
37,3.7,33.8974834337366,3.9754279008018165,34.30420447744042,3.9750213266970227
38,3.8,33.87728605810511,3.970049090612524,34.281944255669984,3.9696308219242433
39,3.9,33.8693349592147,3.964717878101112,34.271726891226955,3.9642951367041457
40,4.0,33.868493806313396,3.961531148496211,34.26842765435923,3.9611048302053122
41,4.1,33.871709027971704,3.961480068055758,34.26900698232772,3.961044525279121
42,4.2,33.87317039603805,3.9644855204529095,34.26757808827031,3.964029587221492
43,4.3,33.86584466646997,3.9700151544616213,34.25698404631161,3.969524653707489
44,4.4,33.84468547845504,3.9775191869043383,34.23208632508086,3.976981193605616
45,4.5,33.80829096505907,3.9865198535114814,34.19146320391188,3.985927832764286
46,4.6,33.754363382229386,3.996305779485408,34.13278902361296,3.9956631002378105
47,4.7,33.67854083738554,4.005733102030507,34.05163945337104,4.005052644992324
48,4.8,33.58031434301769,4.013265398437239,33.947503124299736,4.012564836802719
49,4.9,33.47402512535766,4.017347745134811,33.83496715506617,4.0166425704002595
50,5.0,33.39094736745072,4.016928253066203,33.74583779382902,4.0162265213021255
51,5.1,33.364692856712914,4.011948928138404,33.71431611099544,4.011250740784581
52,5.2,33.40707863668548,4.003489220981912,33.752471527617075,4.0027908303309845
53,5.3,33.49457854329633,3.993395764179713,33.83646311298289,3.9926952001044214
54,5.4,33.58058940180065,3.9835997621932107,33.91897930474553,3.9828999237068983
55,5.5,33.6271129375859,3.9754838271204376,33.9614073361499,3.9747906260163495
56,5.6,33.63128830627299,3.9696557547823326,33.96080034187854,3.968973451892353
57,5.7,33.62158736326653,3.9660770391903073,33.94605604331532,3.965404665663134
58,5.8,33.62671963568441,3.9643222737796533,33.946373146130945,3.963654524168014
59,5.9,33.64606268602741,3.9638311335374716,33.96122389302341,3.9631629889205717
60,6.0,33.649405550829485,3.964098112060802,33.96004628952208,3.963428859475124
61,6.1,33.603785271086,3.9648857306599665,33.9094288337992,3.964219098737234
62,6.2,33.50334716273277,3.966322173444354,33.803402388260295,3.9656623222324257
63,6.3,33.37101824384873,3.9688217217230077,33.66516905020651,3.968168780586757
64,6.4,33.23367735453563,3.9727855182026106,33.5219617466979,3.972134540781839
65,6.5,33.09818112322152,3.9781915247732655,33.38074559327486,3.9775352095049383
66,6.6,32.952328991947496,3.984341473678066,33.22917867133127,3.9836742145515296
67,6.7,32.79089759374168,3.989911124272916,33.06197569814519,3.989230907477535
68,6.8,32.64164919490038,3.9934409022838424,32.90725351080153,3.9927483278860487
69,6.9,32.56380622828091,3.9940459671358903,32.825000060994796,3.9933421526560857
70,7.0,32.61431287184628,3.9919079406029496,32.87291282482443,3.9911937902595995
71,7.1,32.8057237718334,3.9881550475991587,33.063749812091274,3.9874325931803165
72,7.2,33.086697481714374,3.9841032668597904,33.34556072257151,3.9833775182852533
73,7.3,33.360939398488064,3.9803439302706507,33.620850481520066,3.9796229342073546
74,7.4,33.53400384409433,3.9763206220071567,33.793960339867624,3.975612578604371
75,7.5,33.557314563784615,3.970788117690174,33.81565055065434,3.9700972323804224
76,7.6,33.442941177442414,3.9629446158797323,33.69808890114988,3.962269176193412
77,7.7,33.242082726055884,3.9533374156273995,33.49309307796639,3.952672311263818
78,7.8,33.00779827017635,3.9439779486262956,33.25440772659666,3.943320577317806
79,7.9,32.76890591249137,3.9374689542196366,33.01126321394143,3.936824323273144
80,8.0,32.529801702449205,3.9358353961548493,32.768161377850234,3.935216546160086
81,8.1,32.29453488787187,3.9399328735134644,32.52921771437242,3.939356070218372
82,8.2,32.08663566970742,3.9496385094288975,32.31822579879321,3.949116673599103
83,8.3,31.949546420219416,3.9644059471596917,32.17910831773378,3.9639445508403037
84,8.4,31.927204628663198,3.9836320745277605,32.15628767519128,3.983229701772719
85,8.5,32.038171127491054,4.006439893872576,32.268518344010985,4.006092161341703
86,8.6,32.26124490725702,4.031184118407628,32.4943349043074,4.030887418779827
87,8.7,32.53796758142464,4.055178740094804,32.77458457308947,4.054931515335933
88,8.8,32.78836700516864,4.074905136706643,33.02835349181534,4.074706177199859
89,8.9,32.93407193901059,4.086719193116659,33.176348572119785,4.086564342151467
90,9.0,32.92275399671755,4.087700367572941,33.16561810162131,4.087580039909389
91,9.1,32.75085654907881,4.076360892780565,32.992537482374274,4.076259802752196
92,9.2,32.471523907123945,4.053029020581444,32.71082590840003,4.052928444660681
93,9.3,32.17377948306155,4.019899203016072,32.4104843508563,4.01978102687967
94,9.4,31.943704678642263,3.9810910393838794,32.1785299521717,3.9809421387157777
95,9.5,31.82225124211046,3.942485907919547,32.056326959728246,3.9423014794931346
96,9.6,31.791386357003972,3.911051292545493,32.02557851830371,3.91083608225958
97,9.7,31.797781350075383,3.8933237889578494,32.03229610580572,3.89309083107799
