,tl,bl,tr,br
0,"(312.0, 64.5)","(523.0, 65.5)","(526.5, 83.5)","(309.0, 83.5)"
1,"(313.0, 64.5)","(523.0, 65.5)","(526.5, 83.5)","(309.0, 83.5)"
2,"(313.0, 64.5)","(523.0, 65.5)","(526.5, 83.5)","(309.0, 83.5)"
3,"(313.0, 64.5)","(523.0, 65.5)","(526.5, 83.5)","(309.0, 83.5)"
4,"(313.0, 64.5)","(524.0, 65.5)","(527.5, 83.5)","(310.0, 83.5)"
5,"(313.0, 64.5)","(524.0, 65.5)","(526.5, 83.5)","(310.0, 82.5)"
6,"(313.0, 64.5)","(524.0, 65.5)","(526.5, 83.5)","(310.0, 83.5)"
7,"(313.0, 64.5)","(524.0, 65.5)","(527.5, 83.5)","(310.0, 83.5)"
8,"(313.0, 64.5)","(524.0, 65.5)","(526.5, 83.5)","(309.0, 83.5)"
9,"(313.0, 64.5)","(524.0, 65.5)","(526.5, 83.5)","(310.0, 83.5)"
10,"(313.0, 64.5)","(523.0, 65.5)","(526.5, 83.5)","(310.0, 83.5)"
11,"(313.0, 64.5)","(523.0, 65.5)","(526.5, 83.5)","(310.0, 83.5)"
12,"(312.0, 64.5)","(523.0, 65.5)","(526.5, 83.5)","(310.0, 83.5)"
13,"(312.0, 64.5)","(523.0, 65.5)","(526.5, 83.5)","(310.0, 83.5)"
14,"(312.0, 65.5)","(524.0, 66.5)","(526.5, 83.5)","(309.0, 83.5)"
15,"(312.0, 65.5)","(524.0, 65.5)","(526.5, 84.5)","(309.0, 84.5)"
16,"(312.0, 65.5)","(524.0, 66.5)","(526.5, 84.5)","(309.0, 84.5)"
17,"(312.0, 65.5)","(524.0, 67.5)","(526.5, 84.5)","(309.0, 84.5)"
18,"(312.0, 66.5)","(524.0, 66.5)","(526.5, 85.5)","(310.0, 84.5)"
19,"(312.0, 66.5)","(523.0, 67.5)","(527.5, 85.5)","(310.0, 86.5)"
20,"(312.0, 67.5)","(523.0, 67.5)","(526.5, 85.5)","(310.0, 85.5)"
21,"(312.0, 67.5)","(524.0, 68.5)","(526.5, 86.5)","(310.0, 86.5)"
22,"(312.0, 68.5)","(524.0, 69.5)","(526.5, 86.5)","(310.0, 86.5)"
23,"(313.0, 67.5)","(524.0, 68.5)","(526.5, 87.5)","(310.0, 87.5)"
24,"(312.0, 69.5)","(524.0, 69.5)","(526.5, 87.5)","(310.0, 87.5)"
25,"(313.0, 68.5)","(524.0, 70.5)","(526.5, 87.5)","(309.0, 88.5)"
26,"(313.0, 69.5)","(524.0, 70.5)","(526.5, 88.5)","(310.0, 88.5)"
27,"(313.0, 69.5)","(524.0, 70.5)","(527.5, 88.5)","(310.0, 88.5)"
28,"(313.0, 70.5)","(524.0, 71.5)","(526.5, 88.5)","(310.0, 89.5)"
29,"(312.0, 70.5)","(524.0, 71.5)","(526.5, 89.5)","(310.0, 88.5)"
30,"(313.0, 70.5)","(524.0, 71.5)","(526.5, 89.5)","(309.0, 90.5)"
31,"(313.0, 70.5)","(524.0, 71.5)","(526.5, 89.5)","(310.0, 89.5)"
32,"(313.0, 71.5)","(524.0, 71.5)","(526.5, 90.5)","(310.0, 90.5)"
33,"(312.0, 70.5)","(524.0, 72.5)","(526.5, 89.5)","(310.0, 90.5)"
34,"(313.0, 71.5)","(524.0, 72.5)","(526.5, 90.5)","(309.0, 90.5)"
35,"(313.0, 71.5)","(523.0, 71.5)","(526.5, 90.5)","(310.0, 90.5)"
36,"(313.0, 71.5)","(523.0, 72.5)","(526.5, 90.5)","(310.0, 90.5)"
37,"(312.0, 71.5)","(524.0, 71.5)","(526.5, 89.5)","(310.0, 90.5)"
38,"(313.0, 71.5)","(524.0, 72.5)","(526.5, 90.5)","(310.0, 90.5)"
39,"(313.0, 71.5)","(524.0, 71.5)","(526.5, 90.5)","(309.0, 90.5)"
40,"(312.0, 71.5)","(524.0, 72.5)","(526.5, 89.5)","(309.0, 90.5)"
41,"(313.0, 71.5)","(523.0, 71.5)","(526.5, 90.5)","(310.0, 90.5)"
42,"(313.0, 71.5)","(524.0, 72.5)","(526.5, 90.5)","(310.0, 89.5)"
43,"(312.0, 71.5)","(524.0, 71.5)","(526.5, 90.5)","(310.0, 90.5)"
44,"(313.0, 71.5)","(524.0, 72.5)","(526.5, 89.5)","(309.0, 90.5)"
45,"(313.0, 71.5)","(523.0, 71.5)","(526.5, 90.5)","(309.0, 90.5)"
46,"(312.0, 71.5)","(524.0, 72.5)","(526.5, 90.5)","(310.0, 90.5)"
47,"(313.0, 71.5)","(524.0, 72.5)","(527.5, 90.5)","(310.0, 90.5)"
48,"(313.0, 71.5)","(524.0, 71.5)","(526.5, 90.5)","(310.0, 90.5)"
49,"(313.0, 71.5)","(524.0, 72.5)","(526.5, 90.5)","(310.0, 90.5)"
50,"(312.0, 71.5)","(523.0, 72.5)","(526.5, 89.5)","(310.0, 90.5)"
51,"(312.0, 71.5)","(523.0, 71.5)","(526.5, 90.5)","(309.0, 90.5)"
52,"(313.0, 71.5)","(523.0, 72.5)","(526.5, 90.5)","(309.0, 90.5)"
53,"(313.0, 71.5)","(524.0, 71.5)","(526.5, 90.5)","(310.0, 90.5)"
54,"(313.0, 71.5)","(524.0, 71.5)","(526.5, 90.5)","(310.0, 90.5)"
55,"(312.0, 71.5)","(524.0, 72.5)","(526.5, 90.5)","(310.0, 90.5)"
56,"(313.0, 71.5)","(524.0, 72.5)","(526.5, 89.5)","(310.0, 90.5)"
57,"(313.0, 71.5)","(523.0, 71.5)","(526.5, 90.5)","(309.0, 90.5)"
58,"(313.0, 71.5)","(523.0, 72.5)","(526.5, 90.5)","(309.0, 90.5)"
59,"(313.0, 71.5)","(524.0, 72.5)","(526.5, 90.5)","(310.0, 90.5)"
60,"(312.0, 71.5)","(524.0, 72.5)","(526.5, 90.5)","(310.0, 90.5)"
61,"(313.0, 71.5)","(524.0, 72.5)","(526.5, 90.5)","(310.0, 90.5)"
62,"(313.0, 71.5)","(524.0, 72.5)","(526.5, 90.5)","(310.0, 90.5)"
63,"(313.0, 71.5)","(523.0, 72.5)","(526.5, 90.5)","(309.0, 90.5)"
64,"(312.0, 71.5)","(523.0, 71.5)","(526.5, 90.5)","(309.0, 90.5)"
65,"(313.0, 71.5)","(524.0, 72.5)","(526.5, 90.5)","(310.0, 90.5)"
66,"(313.0, 71.5)","(524.0, 72.5)","(526.5, 89.5)","(310.0, 90.5)"
67,"(313.0, 71.5)","(524.0, 72.5)","(526.5, 90.5)","(310.0, 91.5)"
68,"(312.0, 71.5)","(524.0, 72.5)","(527.5, 90.5)","(310.0, 90.5)"
69,"(313.0, 71.5)","(523.0, 72.5)","(526.5, 90.5)","(309.0, 90.5)"
70,"(313.0, 71.5)","(523.0, 72.5)","(526.5, 90.5)","(309.0, 90.5)"
71,"(313.0, 71.5)","(523.0, 72.5)","(526.5, 90.5)","(310.0, 90.5)"
72,"(313.0, 71.5)","(524.0, 72.5)","(526.5, 90.5)","(310.0, 90.5)"
73,"(313.0, 71.5)","(524.0, 72.5)","(526.5, 89.5)","(310.0, 90.5)"
74,"(313.0, 71.5)","(524.0, 72.5)","(526.5, 90.5)","(310.0, 90.5)"
75,"(312.0, 71.5)","(524.0, 72.5)","(526.5, 90.5)","(310.0, 90.5)"
76,"(313.0, 71.5)","(523.0, 72.5)","(526.5, 90.5)","(310.0, 90.5)"
77,"(313.0, 71.5)","(523.0, 72.5)","(526.5, 90.5)","(309.0, 90.5)"
78,"(312.0, 71.5)","(524.0, 72.5)","(526.5, 89.5)","(309.0, 90.5)"
79,"(313.0, 71.5)","(524.0, 72.5)","(526.5, 90.5)","(309.0, 90.5)"
80,"(313.0, 71.5)","(524.0, 72.5)","(526.5, 90.5)","(310.0, 90.5)"
81,"(313.0, 71.5)","(524.0, 72.5)","(526.5, 90.5)","(310.0, 90.5)"
82,"(313.0, 71.5)","(524.0, 71.5)","(527.5, 90.5)","(310.0, 90.5)"
83,"(314.0, 71.5)","(524.0, 72.5)","(527.5, 90.5)","(310.0, 90.5)"
84,"(315.0, 71.5)","(525.0, 72.5)","(527.5, 90.5)","(311.0, 90.5)"
85,"(316.0, 72.5)","(526.0, 73.5)","(529.5, 90.5)","(313.0, 91.5)"
86,"(319.0, 73.5)","(528.0, 74.5)","(531.5, 92.5)","(316.0, 91.5)"
87,"(322.0, 73.5)","(530.0, 75.5)","(532.5, 92.5)","(319.0, 93.5)"
88,"(324.0, 75.5)","(532.0, 76.5)","(535.5, 94.5)","(322.0, 92.5)"
89,"(329.0, 77.5)","(534.0, 77.5)","(537.5, 95.5)","(326.0, 95.5)"
90,"(333.0, 77.5)","(536.0, 79.5)","(539.5, 96.5)","(330.0, 95.5)"
91,"(334.0, 79.5)","(539.0, 80.5)","(541.5, 96.5)","(333.0, 96.5)"
92,"(341.0, 79.5)","(541.0, 80.5)","(544.5, 98.5)","(337.0, 97.5)"
93,"(344.0, 80.5)","(543.0, 81.5)","(546.5, 99.5)","(340.0, 98.5)"
94,"(347.0, 81.5)","(546.0, 83.5)","(549.5, 99.5)","(344.0, 99.5)"
95,"(350.0, 82.5)","(548.0, 84.5)","(551.5, 101.5)","(347.0, 100.5)"
96,"(354.0, 83.5)","(551.0, 84.5)","(553.5, 102.5)","(351.0, 101.5)"
97,"(358.0, 84.5)","(554.0, 87.5)","(555.5, 103.5)","(354.0, 102.5)"
